Serial Number:20439121 --

Date Time - GMT -07:00,"Temp, (*F)",Host Connect,Stopped,EOF,
2018-09-16 23:59:59,71.07, , , ,
2018-09-17 00:00:59,70.91, , , ,
2018-09-17 00:01:59,70.84, , , ,
2018-09-17 00:02:59,70.76, , , ,
2018-09-17 00:03:59,70.76, , , ,
2018-09-17 00:04:59,70.84, , , ,
2018-09-17 00:05:59,70.91, , , ,
2018-09-17 00:06:59,71.15, , , ,
2018-09-17 00:07:59,71.22, , , ,
2018-09-17 00:08:59,71.22, , , ,
2018-09-17 00:09:59,71.15, , , ,
2018-09-17 00:10:59,71.15, , , ,
2018-09-17 00:11:59,71.07, , , ,
2018-09-17 00:12:59,70.91, , , ,
2018-09-17 00:13:59,70.91, , , ,
2018-09-17 00:14:59,70.76, , , ,
2018-09-17 00:15:59,70.68, , , ,
2018-09-17 00:16:59,70.45, , , ,
2018-09-17 00:17:59,70.45, , , ,
2018-09-17 00:18:59,70.45, , , ,
2018-09-17 00:19:59,70.45, , , ,
2018-09-17 00:20:59,70.45, , , ,
2018-09-17 00:21:59,70.45, , , ,
2018-09-17 00:22:59,70.45, , , ,
2018-09-17 00:23:59,70.53, , , ,
2018-09-17 00:24:59,70.84, , , ,
2018-09-17 00:25:59,70.99, , , ,
2018-09-17 00:26:59,70.99, , , ,
2018-09-17 00:27:59,71.30, , , ,
2018-09-17 00:28:59,71.38, , , ,
2018-09-17 00:29:59,71.53, , , ,
2018-09-17 00:30:59,71.61, , , ,
2018-09-17 00:31:59,71.69, , , ,
2018-09-17 00:32:59,71.76, , , ,
2018-09-17 00:33:59,71.76, , , ,
2018-09-17 00:34:59,71.69, , , ,
2018-09-17 00:35:59,71.84, , , ,
2018-09-17 00:36:59,71.84, , , ,
2018-09-17 00:37:59,71.84, , , ,
2018-09-17 00:38:59,71.84, , , ,
2018-09-17 00:39:59,71.69, , , ,
2018-09-17 00:40:59,71.61, , , ,
2018-09-17 00:41:59,71.61, , , ,
2018-09-17 00:42:59,71.53, , , ,
2018-09-17 00:43:59,71.45, , , ,
2018-09-17 00:44:59,71.53, , , ,
2018-09-17 00:45:59,71.53, , , ,
2018-09-17 00:46:59,71.53, , , ,
2018-09-17 00:47:59,71.38, , , ,
2018-09-17 00:48:59,71.38, , , ,
2018-09-17 00:49:59,71.45, , , ,
2018-09-17 00:50:59,71.45, , , ,
2018-09-17 00:51:59,71.45, , , ,
2018-09-17 00:52:59,71.45, , , ,
2018-09-17 00:53:59,71.45, , , ,
2018-09-17 00:54:59,71.38, , , ,
2018-09-17 00:55:59,71.45, , , ,
2018-09-17 00:56:59,71.38, , , ,
2018-09-17 00:57:59,71.38, , , ,
2018-09-17 00:58:59,71.45, , , ,
2018-09-17 00:59:59,71.22, , , ,
2018-09-17 01:00:59,71.15, , , ,
2018-09-17 01:01:59,71.15, , , ,
2018-09-17 01:02:59,71.15, , , ,
2018-09-17 01:03:59,71.15, , , ,
2018-09-17 01:04:59,71.15, , , ,
2018-09-17 01:05:59,71.15, , , ,
2018-09-17 01:06:59,71.15, , , ,
2018-09-17 01:07:59,70.99, , , ,
2018-09-17 01:08:59,70.99, , , ,
2018-09-17 01:09:59,70.99, , , ,
2018-09-17 01:10:59,70.99, , , ,
2018-09-17 01:11:59,70.99, , , ,
2018-09-17 01:12:59,70.91, , , ,
2018-09-17 01:13:59,70.91, , , ,
2018-09-17 01:14:59,70.91, , , ,
2018-09-17 01:15:59,70.99, , , ,
2018-09-17 01:16:59,71.07, , , ,
2018-09-17 01:17:59,70.99, , , ,
2018-09-17 01:18:59,70.99, , , ,
2018-09-17 01:19:59,70.99, , , ,
2018-09-17 01:20:59,71.07, , , ,
2018-09-17 01:21:59,71.22, , , ,
2018-09-17 01:22:59,71.30, , , ,
2018-09-17 01:23:59,71.22, , , ,
2018-09-17 01:24:59,71.22, , , ,
2018-09-17 01:25:59,71.22, , , ,
2018-09-17 01:26:59,71.22, , , ,
2018-09-17 01:27:59,71.07, , , ,
2018-09-17 01:28:59,71.07, , , ,
2018-09-17 01:29:59,70.91, , , ,
2018-09-17 01:30:59,70.84, , , ,
2018-09-17 01:31:59,70.84, , , ,
2018-09-17 01:32:59,70.76, , , ,
2018-09-17 01:33:59,70.76, , , ,
2018-09-17 01:34:59,70.76, , , ,
2018-09-17 01:35:59,70.84, , , ,
2018-09-17 01:36:59,70.91, , , ,
2018-09-17 01:37:59,71.07, , , ,
2018-09-17 01:38:59,71.07, , , ,
2018-09-17 01:39:59,71.07, , , ,
2018-09-17 01:40:59,71.07, , , ,
2018-09-17 01:41:59,71.15, , , ,
2018-09-17 01:42:59,71.07, , , ,
2018-09-17 01:43:59,71.07, , , ,
2018-09-17 01:44:59,70.91, , , ,
2018-09-17 01:45:59,70.76, , , ,
2018-09-17 01:46:59,70.61, , , ,
2018-09-17 01:47:59,70.53, , , ,
2018-09-17 01:48:59,70.30, , , ,
2018-09-17 01:49:59,70.22, , , ,
2018-09-17 01:50:59,70.14, , , ,
2018-09-17 01:51:59,69.83, , , ,
2018-09-17 01:52:59,69.76, , , ,
2018-09-17 01:53:59,69.76, , , ,
2018-09-17 01:54:59,69.68, , , ,
2018-09-17 01:55:59,69.76, , , ,
2018-09-17 01:56:59,69.76, , , ,
2018-09-17 01:57:59,69.83, , , ,
2018-09-17 01:58:59,69.76, , , ,
2018-09-17 01:59:59,69.68, , , ,
2018-09-17 02:00:59,69.68, , , ,
2018-09-17 02:01:59,69.60, , , ,
2018-09-17 02:02:59,69.60, , , ,
2018-09-17 02:03:59,69.52, , , ,
2018-09-17 02:04:59,69.37, , , ,
2018-09-17 02:05:59,69.29, , , ,
2018-09-17 02:06:59,69.22, , , ,
2018-09-17 02:07:59,69.06, , , ,
2018-09-17 02:08:59,69.06, , , ,
2018-09-17 02:09:59,68.91, , , ,
2018-09-17 02:10:59,68.91, , , ,
2018-09-17 02:11:59,68.75, , , ,
2018-09-17 02:12:59,68.75, , , ,
2018-09-17 02:13:59,68.91, , , ,
2018-09-17 02:14:59,68.91, , , ,
2018-09-17 02:15:59,68.91, , , ,
2018-09-17 02:16:59,68.98, , , ,
2018-09-17 02:17:59,68.98, , , ,
2018-09-17 02:18:59,68.98, , , ,
2018-09-17 02:19:59,68.91, , , ,
2018-09-17 02:20:59,69.06, , , ,
2018-09-17 02:21:59,69.14, , , ,
2018-09-17 02:22:59,69.14, , , ,
2018-09-17 02:23:59,69.22, , , ,
2018-09-17 02:24:59,69.37, , , ,
2018-09-17 02:25:59,69.45, , , ,
2018-09-17 02:26:59,69.45, , , ,
2018-09-17 02:27:59,69.45, , , ,
2018-09-17 02:28:59,69.52, , , ,
2018-09-17 02:29:59,69.52, , , ,
2018-09-17 02:30:59,69.60, , , ,
2018-09-17 02:31:59,69.68, , , ,
2018-09-17 02:32:59,69.83, , , ,
2018-09-17 02:33:59,69.76, , , ,
2018-09-17 02:34:59,69.91, , , ,
2018-09-17 02:35:59,69.83, , , ,
2018-09-17 02:36:59,69.83, , , ,
2018-09-17 02:37:59,69.91, , , ,
2018-09-17 02:38:59,69.91, , , ,
2018-09-17 02:39:59,69.99, , , ,
2018-09-17 02:40:59,70.06, , , ,
2018-09-17 02:41:59,69.99, , , ,
2018-09-17 02:42:59,69.99, , , ,
2018-09-17 02:43:59,70.06, , , ,
2018-09-17 02:44:59,70.06, , , ,
2018-09-17 02:45:59,70.06, , , ,
2018-09-17 02:46:59,70.06, , , ,
2018-09-17 02:47:59,70.14, , , ,
2018-09-17 02:48:59,70.22, , , ,
2018-09-17 02:49:59,70.22, , , ,
2018-09-17 02:50:59,70.22, , , ,
2018-09-17 02:51:59,70.30, , , ,
2018-09-17 02:52:59,70.37, , , ,
2018-09-17 02:53:59,70.37, , , ,
2018-09-17 02:54:59,70.37, , , ,
2018-09-17 02:55:59,70.22, , , ,
2018-09-17 02:56:59,70.30, , , ,
2018-09-17 02:57:59,70.30, , , ,
2018-09-17 02:58:59,70.22, , , ,
2018-09-17 02:59:59,70.06, , , ,
2018-09-17 03:00:59,70.06, , , ,
2018-09-17 03:01:59,69.99, , , ,
2018-09-17 03:02:59,69.91, , , ,
2018-09-17 03:03:59,69.76, , , ,
2018-09-17 03:04:59,69.68, , , ,
2018-09-17 03:05:59,69.60, , , ,
2018-09-17 03:06:59,69.52, , , ,
2018-09-17 03:07:59,69.45, , , ,
2018-09-17 03:08:59,69.37, , , ,
2018-09-17 03:09:59,69.22, , , ,
2018-09-17 03:10:59,69.14, , , ,
2018-09-17 03:11:59,68.98, , , ,
2018-09-17 03:12:59,68.83, , , ,
2018-09-17 03:13:59,68.60, , , ,
2018-09-17 03:14:59,68.29, , , ,
2018-09-17 03:15:59,68.13, , , ,
2018-09-17 03:16:59,67.98, , , ,
2018-09-17 03:17:59,67.75, , , ,
2018-09-17 03:18:59,67.59, , , ,
2018-09-17 03:19:59,67.44, , , ,
2018-09-17 03:20:59,67.21, , , ,
2018-09-17 03:21:59,66.98, , , ,
2018-09-17 03:22:59,66.82, , , ,
2018-09-17 03:23:59,66.67, , , ,
2018-09-17 03:24:59,66.59, , , ,
2018-09-17 03:25:59,66.36, , , ,
2018-09-17 03:26:59,66.28, , , ,
2018-09-17 03:27:59,66.05, , , ,
2018-09-17 03:28:59,65.97, , , ,
2018-09-17 03:29:59,65.82, , , ,
2018-09-17 03:30:59,65.74, , , ,
2018-09-17 03:31:59,65.66, , , ,
2018-09-17 03:32:59,65.59, , , ,
2018-09-17 03:33:59,65.43, , , ,
2018-09-17 03:34:59,65.35, , , ,
2018-09-17 03:35:59,65.28, , , ,
2018-09-17 03:36:59,65.20, , , ,
2018-09-17 03:37:59,65.12, , , ,
2018-09-17 03:38:59,65.05, , , ,
2018-09-17 03:39:59,64.89, , , ,
2018-09-17 03:40:59,64.81, , , ,
2018-09-17 03:41:59,64.66, , , ,
2018-09-17 03:42:59,64.66, , , ,
2018-09-17 03:43:59,64.58, , , ,
2018-09-17 03:44:59,64.50, , , ,
2018-09-17 03:45:59,64.50, , , ,
2018-09-17 03:46:59,64.50, , , ,
2018-09-17 03:47:59,64.43, , , ,
2018-09-17 03:48:59,64.35, , , ,
2018-09-17 03:49:59,64.35, , , ,
2018-09-17 03:50:59,64.27, , , ,
2018-09-17 03:51:59,64.35, , , ,
2018-09-17 03:52:59,64.35, , , ,
2018-09-17 03:53:59,64.20, , , ,
2018-09-17 03:54:59,64.20, , , ,
2018-09-17 03:55:59,64.20, , , ,
2018-09-17 03:56:59,64.04, , , ,
2018-09-17 03:57:59,63.96, , , ,
2018-09-17 03:58:59,63.96, , , ,
2018-09-17 03:59:59,63.96, , , ,
2018-09-17 04:00:59,63.81, , , ,
2018-09-17 04:01:59,63.81, , , ,
2018-09-17 04:02:59,63.73, , , ,
2018-09-17 04:03:59,63.66, , , ,
2018-09-17 04:04:59,63.58, , , ,
2018-09-17 04:05:59,63.50, , , ,
2018-09-17 04:06:59,63.42, , , ,
2018-09-17 04:07:59,63.50, , , ,
2018-09-17 04:08:59,63.27, , , ,
2018-09-17 04:09:59,63.19, , , ,
2018-09-17 04:10:59,63.27, , , ,
2018-09-17 04:11:59,63.04, , , ,
2018-09-17 04:12:59,63.04, , , ,
2018-09-17 04:13:59,62.88, , , ,
2018-09-17 04:14:59,62.81, , , ,
2018-09-17 04:15:59,62.65, , , ,
2018-09-17 04:16:59,62.57, , , ,
2018-09-17 04:17:59,62.50, , , ,
2018-09-17 04:18:59,62.42, , , ,
2018-09-17 04:19:59,62.27, , , ,
2018-09-17 04:20:59,62.27, , , ,
2018-09-17 04:21:59,62.11, , , ,
2018-09-17 04:22:59,62.19, , , ,
2018-09-17 04:23:59,62.11, , , ,
2018-09-17 04:24:59,62.03, , , ,
2018-09-17 04:25:59,61.96, , , ,
2018-09-17 04:26:59,61.88, , , ,
2018-09-17 04:27:59,61.96, , , ,
2018-09-17 04:28:59,61.80, , , ,
2018-09-17 04:29:59,61.88, , , ,
2018-09-17 04:30:59,61.72, , , ,
2018-09-17 04:31:59,61.72, , , ,
2018-09-17 04:32:59,61.72, , , ,
2018-09-17 04:33:59,61.65, , , ,
2018-09-17 04:34:59,61.65, , , ,
2018-09-17 04:35:59,61.57, , , ,
2018-09-17 04:36:59,61.49, , , ,
2018-09-17 04:37:59,61.49, , , ,
2018-09-17 04:38:59,61.42, , , ,
2018-09-17 04:39:59,61.42, , , ,
